Timestep,Cell,CO2
40.0,poly_69,1.986990069674188e-06
40.0,poly_70,1.3024686987089021e-05
40.0,poly_71,1.7242332259452778e-06
40.0,poly_72,9.417023116439384e-06
40.0,poly_73,0.05573198428438471
40.0,poly_74,2.5826303480125494
40.0,poly_75,33.328122644004644
40.0,poly_76,80.02188214872263
40.0,poly_77,111.71261800616153
40.0,poly_78,76.06604564169952
40.0,poly_79,4.407101667769051
40.0,poly_80,0.0563447847331636
40.0,poly_81,0.006743523848292111
40.0,poly_82,0.07601582356931848
40.0,poly_83,0.009029903249707295
40.0,poly_84,8.243306579583924e-07
40.0,poly_85,0.004878567537364645
40.0,poly_86,0.22606699227686786
40.0,poly_87,2.8381837030124952
40.0,poly_88,5.1223668144112695
40.0,poly_89,7.820267181798204
40.0,poly_90,4.8451443056362296
40.0,poly_91,0.309713088311394
40.0,poly_92,0.017424761044251343
40.0,poly_93,0.36960879890636633
40.0,poly_94,3.5071588080270857
40.0,poly_95,0.5434093645378673
40.0,poly_96,1.8179131225579378e-08
40.0,poly_97,0.00010758803957899134
40.0,poly_98,0.004985352471503762
40.0,poly_99,0.06083691027848762
40.0,poly_100,0.07129002512704012
40.0,poly_101,0.1291007017901191
40.0,poly_102,0.06671327465730896
40.0,poly_103,0.09491801659269862
40.0,poly_104,2.328471565009443
40.0,poly_105,8.626504147914002
40.0,poly_106,47.19706258376431
40.0,poly_107,16.059190930861206
40.0,poly_108,3.0719830131071063e-12
40.0,poly_109,1.8180661435300413e-08
40.0,poly_110,8.424448975180571e-07
40.0,poly_111,1.0279322340991894e-05
40.0,poly_112,1.2019686441407425e-05
40.0,poly_113,2.17881280930363e-05
40.0,poly_114,0.0001845197220001325
40.0,poly_115,1.9811563493713393
40.0,poly_116,48.42509106302612
40.0,poly_117,84.19565044441244
40.0,poly_118,150.7328062955455
40.0,poly_119,192.5281122715245
40.0,poly_120,1.3028008893943805e-16
40.0,poly_121,7.710258092778614e-13
40.0,poly_122,3.5727344749937143e-11
40.0,poly_123,4.359369902462689e-10
40.0,poly_124,5.097444457862924e-10
40.0,poly_125,9.660498515519382e-10
40.0,poly_126,8.086804412091993e-06
40.0,poly_127,0.08976527220640247
40.0,poly_128,2.254667430285818
40.0,poly_129,5.369671856192544
40.0,poly_130,13.060486661633858
40.0,poly_131,62.783569190713
40.0,poly_132,0.0
40.0,poly_133,0.0
40.0,poly_134,0.0
40.0,poly_135,0.0
40.0,poly_136,6.676705484609651e-18
40.0,poly_137,1.0469162037801402e-12
40.0,poly_138,2.2514381688471213e-08
40.0,poly_139,0.00013136214184124542
40.0,poly_140,0.006085097065330776
40.0,poly_141,0.2272831774315195
40.0,poly_142,9.081858910204174
40.0,poly_143,131.35099174257877
50.0,poly_0,8.602366601829591e-20
50.0,poly_1,5.900762200522284e-18
50.0,poly_2,1.3834121498991251e-16
50.0,poly_3,1.158552565005782e-15
50.0,poly_4,1.434622809202498e-15
50.0,poly_5,2.4368516145814303e-15
50.0,poly_6,1.3077808632705281e-15
50.0,poly_7,1.4556220949078798e-16
50.0,poly_8,6.0296825738968115e-18
50.0,poly_9,8.648854446782324e-20
50.0,poly_10,2.1789678685873246e-23
50.0,poly_11,1.8444323523148655e-27
50.0,poly_12,3.04263578822374e-15
50.0,poly_13,2.0870849941792134e-13
50.0,poly_14,4.8930945540630505e-12
50.0,poly_15,4.0977717644296625e-11
50.0,poly_16,5.074225389270463e-11
